city,x1,x2,x3,x4,x5
c1,97.84 ,1.28 ,38.86 ,195.57 ,121.07 
c2,11.20 ,0.66 ,12.59 ,39.37 ,50.12 
c3,5.67 ,0.11 ,3.60 ,35.12 ,10.58 
c4,29.87 ,0.57 ,17.26 ,62.60 ,24.07 
c5,52.39 ,0.29 ,32.14 ,156.50 ,62.74 
c6,47.82 ,4.47 ,18.44 ,73.40 ,16.14 
c7,33.57 ,3.10 ,12.84 ,0.60 ,4.73 
c8,57.10 ,2.74 ,28.02 ,13.89 ,19.75 
c9,61.57 ,4.70 ,25.20 ,47.73 ,40.39 
c10,29.82 ,1.70 ,12.09 ,14.54 ,6.78 
c11,20.97 ,0.14 ,20.35 ,13.34 ,74.01 
c12,16.87 ,0.21 ,5.33 ,112.57 ,52.10 
c13,57.33 ,1.79 ,39.21 ,115.37 ,32.68 
c14,47.72 ,3.27 ,21.39 ,11.93 ,11.08 
c15,87.20 ,4.72 ,34.07 ,26.41 ,20.96 
c16,112.00 ,7.85 ,81.36 ,53.81 ,40.85 
c17,76.06 ,16.45 ,46.77 ,43.01 ,19.40 
c18,57.35 ,6.67 ,28.47 ,0.72 ,6.76 
c19,27.05 ,1.63 ,14.88 ,45.87 ,20.97 
c20,71.08 ,2.09 ,26.43 ,79.21 ,17.79 
